step,contactLevel,scenario,drone_ascent_rate,drone_direction,drone_response_distance,drone_speed,drone_x_pos,drone_y_pos,heli_speed,min_dist
120000,none,noContact,1.0,1.0,1.0,5.5,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,1.0,10.0,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,1.0,1.0,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,1.0,5.5,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,1.0,10.0,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,1.0,1.0,40.0,10.0,1.0,
120000,none,noContact,1.0,1.0,1.0,5.5,40.0,10.0,1.0,
120000,none,noContact,1.0,1.0,1.0,10.0,40.0,10.0,1.0,
4000,none,noContact,1.0,1.0,1.0,1.0,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,1.0,1.0,40.0,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,5.5,40.0,10.0,30.0,
4000,none,noContact,1.0,1.0,1.0,10.0,40.0,10.0,30.0,
120000,none,noContact,1.0,1.0,16.8,1.0,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,32.2,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,32.2,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,32.2,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,32.2,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,32.2,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,32.2,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,32.2,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,32.2,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,32.2,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,16.8,1.0,40.0,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,5.5,40.0,10.0,1.0,
120000,none,noContact,1.0,1.0,16.8,10.0,40.0,10.0,1.0,
4000,none,noContact,1.0,1.0,16.8,1.0,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,16.8,1.0,40.0,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,5.5,40.0,10.0,30.0,
4000,none,noContact,1.0,1.0,16.8,10.0,40.0,10.0,30.0,
120000,none,noContact,1.0,1.0,32.6,1.0,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,32.2,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,32.2,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,32.2,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,32.2,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,32.2,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,32.2,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,32.2,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,32.2,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,32.2,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,40.0,1.0,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,40.0,5.5,1.0,
120000,none,noContact,1.0,1.0,32.6,1.0,40.0,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,5.5,40.0,10.0,1.0,
120000,none,noContact,1.0,1.0,32.6,10.0,40.0,10.0,1.0,
4000,none,noContact,1.0,1.0,32.6,1.0,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,1.0,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,1.0,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,1.0,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,8.8,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,8.8,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,8.8,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,16.6,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,16.6,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,16.6,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,24.4,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,24.4,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,24.4,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,32.2,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,32.2,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,32.2,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,40.0,1.0,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,40.0,5.5,30.0,
4000,none,noContact,1.0,1.0,32.6,1.0,40.0,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,5.5,40.0,10.0,30.0,
4000,none,noContact,1.0,1.0,32.6,10.0,40.0,10.0,30.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,1.0,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,1.0,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,1.0,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,8.8,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,8.8,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,8.8,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,16.6,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,16.6,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,16.6,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,24.4,1.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,24.4,5.5,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,1.0,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,5.5,24.4,10.0,1.0,
120000,none,noContact,1.0,1.0,48.400000000000006,10.0,24.4,10.0,1.0,
